page,title,description,bedrooms,bathrooms,toilets,garage,location,city,price
48,Very Standard Big And Clean Self Contained Room,Self contain (single rooms) for rent,0,1,1,1,"Lekki Phase 1, Lekki, Lagos",Lekki,1200000
48,Posh 3 Bedroom Flat,3 bedroom flat / apartment for rent,3,2,4,0,"Banana Island, Ikoyi, Lagos",Ikoyi,15000000
48,3 Bedroom Flat,3 bedroom flat / apartment for rent,3,3,4,3,"Parkview Estate, Ikoyi, Lagos",Ikoyi,4500000
48,Newly Built 2 Bedroom Flat,2 bedroom flat / apartment for rent,2,1,3,0,"Orchid Road, Lekki, Lagos",Lekki,2500000
48,Massive Mini Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,1,"Jakande, Lekki, Lagos",Lekki,1200000
48,A Brand New 2 Bedroom Duplex,2 bedroom flat / apartment for rent,2,3,3,5,"There Peace Estate Before Novare Shoprite Mall After Lbs Lekki Ajah, Lekki Phase 2, Lekki, Lagos",Lekki,1500000
48,Lovely,3 bedroom flat / apartment for rent,3,2,3,0,"Lekki Phase 1, Lekki, Lagos",Lekki,6000000
48,Newly Built 3 Bedrooms Flat,3 bedroom flat / apartment for rent,3,3,4,2,"Off Freedom Way, Lekki Phase 1, Lekki, Lagos",Lekki,3500000
48,Luxury And Spacious 3 Bedroom Apartment,3 bedroom flat / apartment for rent,3,3,4,2,"Lakowe Phase 2, Lakowe, Ibeju Lekki, Lagos",Lekki,700000
48,Luxury 2 Bedroom Flat,2 bedroom flat / apartment for rent,2,2,2,2,"Ikoyi, Lagos",Ikoyi,4500000
48,Massive Single Room Self Contain (studio Semi Masters Bedroom),Self contain (single rooms) for rent,0,1,1,1,"Chevy View Estate, Chevron, Lekki, Lagos",Lekki,1300000
48,Single Room Self-contained Upstairs (master Bed),Self contain (single rooms) for rent,0,1,1,1,"Chevy View Estate, Chevron, Lekki, Lagos",Lekki,1700000
48,"Lovely Ground Floor Mini Flat, Fully Serviced",1 bedroom mini flat (room and parlour) for rent,1,1,1,1,"Off Kunsela Road, Chisco, Ikate, Lekki, Lagos",Lekki,1500000
48,Spacious Mini Flat Upstairs (shared Kitchen),1 bedroom mini flat (room and parlour) for rent,1,1,1,1,"Chevy View Estate, Chevron, Lekki, Lagos",Lekki,1800000
48,Lovely Mini Flat With Guest Toilet With P.o.p Finishing,1 bedroom mini flat (room and parlour) for rent,1,1,1,1,"Off Emma Abimbola Cole, Lekki Phase 1, Lekki, Lagos",Lekki,2000000
49,"Renovated Block Of City View 4 Bedroom Apartments With Bq, Tennis, Squash",4 bedroom flat / apartment for rent,4,4,5,2,"Banana Island Estate, Banana Island, Ikoyi, Lagos",Ikoyi,13000000
49,2 Bedroom Flat,2 bedroom flat / apartment for rent,2,2,3,2,"Hope Villa Estate, Sangotedo, Ajah, Lagos",Ajah,1500000
49,Massive Single Self-contained (studio Parlor) Shared Apartment,Self contain (single rooms) for rent,0,1,1,1,"Chevy View Estate, Chevron, Lekki, Lagos",Lekki,1700000
49,1 Bedroom Apartment,1 bedroom mini flat (room and parlour) for rent,1,1,1,2,"Redeem, Ogombo, Ajah, Lagos",Ajah,700000
49,Nice 2 Bedroom Apartments,2 bedroom flat / apartment for rent,2,2,2,2,"Shaki Crescent, Aguda, Surulere, Lagos",Surulere,1000000
49,Luxury 3 Bedroom Flat With A Bq,3 bedroom flat / apartment for rent,3,2,2,2,"Ikoyi, Lagos",Ikoyi,7500000
49,Highly Rated / One Of The Best 3 Bedroom Apartments,3 bedroom flat / apartment for rent,3,3,4,2,"Victoria Island (VI), Lagos",Victoria Island,14100000
49,Centrally Located Premium 3 Bedroom Apartments,3 bedroom flat / apartment for rent,3,3,4,2,"Old Ikoyi, Ikoyi, Lagos",Ikoyi,12500000
49,"Prince Ademola Osinuga Waterfront 4 Bedroom Apartment + Jetty, Pool",4 bedroom flat / apartment for rent,4,4,5,2,"Banana Island, Ikoyi, Lagos",Ikoyi,12000000
49,V.v.i.p. Massive 2 Bedroom Penthouse Apartment,2 bedroom flat / apartment for rent,2,2,3,2,"Old Ikoyi, Ikoyi, Lagos",Ikoyi,15000000
49,V.v.i.p 4 Bedroom Apartment. Top Rated Family Friendly Environment,4 bedroom flat / apartment for rent,4,4,5,2,"Old Ikoyi, Ikoyi, Lagos",Ikoyi,16000000
49,V.v.i.p's 3 Bedroom Apartment - One Of The Most Premium In The Estate,3 bedroom flat / apartment for rent,3,3,4,2,"Banana Island Estate, Ikoyi, Lagos",Ikoyi,23000000
49,Super Cheap Family Friendly 4 Bedroom Apartment,4 bedroom flat / apartment for rent,4,4,5,2,"Old Ikoyi, Ikoyi, Lagos",Ikoyi,10000000
49,Top Rated & Award Wining Waterfront 1 Bedroom Flat+ Bq,1 bedroom flat / apartment for rent,1,1,1,1,"Victoria Island (VI), Lagos",Victoria Island,9386915
49,Premium 3 Bedroom First Floor Apartment +tennis +pool+gym,3 bedroom flat / apartment for rent,3,2,2,2,"Old Ikoyi, Ikoyi, Lagos",Ikoyi,6000000
49,Offers Newly Built 4 Bedroom Penthouse Apartment + Bq + Pool + Gym,4 bedroom flat / apartment for rent,4,4,5,2,"Parkview, Ikoyi, Lagos",Ikoyi,13000100
49,Luxury Fully Serviced 2 Bedroom Apartment With Elevator,2 bedroom flat / apartment for rent,2,3,3,3,"Ikate, Lekki, Lagos",Lekki,4000000
49,One Of The Very Best New 4 Bedroom Apartments In The Market,4 bedroom flat / apartment for rent,4,4,5,2,"Ikoyi, Lagos",Ikoyi,25000000
49,Standard 3 Bedroom Flat,3 bedroom flat / apartment for rent,3,3,4,5,"Marshill Estate Along Addo Road, Ajah, Lagos",Ajah,1400000
49,"Serviced With 24 Hours Light 3 Bedrooms Flat With Bq, Pool And Gym",3 bedroom flat / apartment for rent,3,3,4,2,"Oniru, Victoria Island (VI), Lagos",Victoria Island,5000000
49,Fantastic 2 Bedroom Flat,2 bedroom flat / apartment for rent,2,2,3,0,"Comfort Home Estate Abijo, Ajah, Lagos",Ajah,700000
50,"Renovated Block Of City View 4 Bedroom Apartments With Bq, Tennis, Squash",4 bedroom flat / apartment for rent,4,4,5,2,"Banana Island Estate, Banana Island, Ikoyi, Lagos",Ikoyi,13000000
50,Fantastic 2 Bedroom Flat,2 bedroom flat / apartment for rent,2,2,3,0,"Comfort Home Estate Abijo, Ajah, Lagos",Ajah,700000
50,Newly Built Room And Parlour,1 bedroom mini flat (room and parlour) for rent,1,1,1,0,"Kingdom Hall Bus-stop, Abijo, Ajah, Lagos",Ajah,400000
50,Nicely Built 1 Bedroom Flat With Good Facilities,1 bedroom mini flat (room and parlour) for rent,1,1,1,0,"Gbetu New Road, Awoyaya, Ibeju Lekki, Lagos",Lekki,500000
50,"New 3 Bedroom En-suite Flat With Bq, Serviced With 24 Hours Light",3 bedroom flat / apartment for rent,3,3,4,2,"Ikoyi, Lagos",Ikoyi,7500000
50,Centrally Located Premium 3 Bedroom Apartment + Tennis +pool,3 bedroom flat / apartment for rent,3,3,4,2,"Old Ikoyi, Ikoyi, Lagos",Ikoyi,6000000
50,Highly Serene Waterfront 3 Bedroom Apartment + Jetty+ Bq Pool + Gym,3 bedroom flat / apartment for rent,3,3,4,2,"Banana Island, Ikoyi, Lagos",Ikoyi,17500000
50,Well Maintained Mini Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,2,"Lekki Phase 1, Lekki, Lagos",Lekki,1600000
50,Spacious Mini Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,0,"Off Emma Abimbola Cole Street, Lekki Phase 1, Lekki, Lagos",Lekki,2000000
50,3 Bedroom Flat,3 bedroom flat / apartment for rent,3,3,4,2,"Thomas Estate, Ajah, Lagos",Ajah,1200000
50,Luxury Furnished Room And Parlour,1 bedroom mini flat (room and parlour) for rent,1,1,1,3,"Hopeville Estate, Sangotedo, Ajah, Lagos",Ajah,1000000
50,3 Bedroom Flat,3 bedroom flat / apartment for rent,3,3,4,2,"Parkview, Ikoyi, Lagos",Ikoyi,4500000
50,3 Bedroom Flat,3 bedroom flat / apartment for rent,3,3,4,3,"Parkview Estate, Ikoyi, Lagos",Ikoyi,4500000
50,Brand New 2 Bedroom Flat,2 bedroom flat / apartment for rent,2,2,3,6,"Orchid Road By 2nd Toll Gate, Lekki, Lagos",Lekki,2500000
50,Sweet Specious 2 Bedroom Apartment [mini Eatate ],2 bedroom flat / apartment for rent,2,2,3,0,"Inside Estate, Ado, Ajah, Lagos",Ajah,850000
50,Premium & Centrally Located 3 Bedroom Apartment + Gym + Pool,3 bedroom flat / apartment for rent,3,3,4,2,"Old Ikoyi, Ikoyi, Lagos",Ikoyi,7000000
50,One Of The Best Family Friendly Properties + Jetty + Tennis Etc,4 bedroom flat / apartment for rent,4,4,5,2,"Old Ikoyi, Ikoyi, Lagos",Ikoyi,12000000
50,One Of The Best Family Friendly Properties With Jetty + Tennis Etc,3 bedroom flat / apartment for rent,3,3,4,2,"Old Ikoyi, Ikoyi, Lagos",Ikoyi,9000000
50,3 Bedroom Flat With A Room Bq,3 bedroom flat / apartment for rent,3,3,4,3,"Parkview Estate, Ikoyi, Lagos",Ikoyi,6000000
50,Luxury 12 Units Of 3 Bedroom Apartments,3 bedroom flat / apartment for rent,3,3,4,3,"Victoria Island (VI), Lagos",Victoria Island,9000000
50,3 Bedroom Flat,3 bedroom flat / apartment for rent,3,3,4,2,"Parkview Estate, Ikoyi, Lagos",Ikoyi,4500000
51,An Exquisite And Luxurious 3 Bedroom Apartment,3 bedroom flat / apartment for rent,3,3,4,3,"Ikoyi, Lagos",Ikoyi,15000000
51,Decent Newly Done Mini Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,1,"Shomolu, Lagos",Shomolu,450000
51,Newly Built 2 Bedroom En-suite Luxury Flat,2 bedroom flat / apartment for rent,2,2,3,1,"Sangotedo, Ajah, Lagos",Ajah,1600000
51,Spacious 3 Bedroom Flat With 1 Room Bq,3 bedroom flat / apartment for rent,3,3,4,0,"Parkview Estate, Ikoyi, Lagos",Ikoyi,7500000
51,2 Bedroom Pent Flat,2 bedroom flat / apartment for rent,2,3,3,3,"Off Omoririn Johnson, Lekki Phase 1, Lekki, Lagos",Lekki,3000000
51,3 Bedroom Apartment,3 bedroom flat / apartment for rent,3,3,4,0,"Old Ikoyi, Ikoyi, Lagos",Ikoyi,10000000
51,"Fabulous Reasonably Priced, Newly Built Penthouse Apartment",4 bedroom flat / apartment for rent,4,4,5,2,"Old Ikoyi, Ikoyi, Lagos",Ikoyi,25000000
51,Direct Clients Only - Fresh 4 Bedroom Apartment +pool+gym,4 bedroom flat / apartment for rent,4,4,5,2,"Old Ikoyi, Ikoyi, Lagos",Ikoyi,7000000
51,Direct Clients Only - Executive 3 Bedroom Apartment + Tennis+pool+gym,3 bedroom flat / apartment for rent,3,3,4,2,"Central Ikoyi, Old Ikoyi, Ikoyi, Lagos",Ikoyi,15000000
51,Luxury Furnished Large Studio Self-contain Apartment,Self contain (single rooms) for rent,0,1,1,3,"Sangotedo, Ajah, Lagos",Ajah,1000000
51,Perfectly Finished And Fully Serviced 3 Bedroom Flat With Bq,3 bedroom flat / apartment for rent,3,3,4,3,"Phase 1, Osborne, Ikoyi, Lagos",Ikoyi,7000000
51,Standard One Room Self Contain With Kitchen,Self contain (single rooms) for rent,0,1,1,2,"Off Lekki County Road, Ikota, Lekki, Lagos",Lekki,700000
51,Newly Built 2 Bedroom Flat,2 bedroom flat / apartment for rent,2,2,3,0,"Opic, Isheri North, Lagos",North,1000000
51,Lovely Built 2 Bedroom Flat,2 bedroom flat / apartment for rent,2,2,3,0,"Amule, Ayobo, Lagos",Ayobo,500000
51,"Lovely Built 2bedroom Flat At Mercyland Estate, Ayobo",2 bedroom flat / apartment for rent,2,2,3,0,"Mercyland Estate, Ayobo, Ayobo, Lagos",Ayobo,500000
51,Mini Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,4,"Cluster 1 Estate, Lekki County, Lekki Expressway, Lekki, Lagos",Lekki,1400000
51,Brand New 2 Bedroom Flat,2 bedroom flat / apartment for rent,2,2,3,5,"Marshill Estate, Ajah, Lagos",Ajah,1300000
51,Self Contain,Self contain (single rooms) for rent,0,1,1,4,"Cluster 1 Estate, Lekki County, Lekki Expressway, Lekki, Lagos",Lekki,1200000
51,Self Contain,Self contain (single rooms) for rent,0,1,1,4,"Cluster 1 Estate, Lekki County, Lekki Expressway, Lekki, Lagos",Lekki,850000
51,Mini Flat Bq,1 bedroom mini flat (room and parlour) for rent,1,1,1,4,"Chevron Alternative, Lekki Expressway, Lekki, Lagos",Lekki,800000
51,Self Contain Studio,Self contain (single rooms) for rent,0,1,1,4,"Chevron Alternative, Lekki Expressway, Lekki, Lagos",Lekki,1600000
52,"Renovated Block Of City View 4 Bedroom Apartments With Bq, Tennis, Squash",4 bedroom flat / apartment for rent,4,4,5,2,"Banana Island Estate, Banana Island, Ikoyi, Lagos",Ikoyi,13000000
52,Mini Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,4,"Chevron Alternative, Lekki Expressway, Lekki, Lagos",Lekki,1600000
52,Self Contain,Self contain (single rooms) for rent,0,1,1,4,"Chevron Alternative, Lekki Expressway, Lekki, Lagos",Lekki,800000
52,Luxury 3 Bedroom Apartment,3 bedroom flat / apartment for rent,3,3,4,3,"Ogombo, Ajah, Lagos",Ajah,1600000
52,Self Contain,Self contain (single rooms) for rent,0,1,1,4,"Chevron Alternative, Lekki Expressway, Lekki, Lagos",Lekki,850000
52,Self Contain,Self contain (single rooms) for rent,0,1,1,4,"Chevron Alternative, Lekki Expressway, Lekki, Lagos",Lekki,700000
52,Self Contain,Self contain (single rooms) for rent,0,1,1,4,"Chevron Alternative, Lekki Expressway, Lekki, Lagos",Lekki,650000
52,Spacious Mini Flat With Granite Top Kitchen With A Guest Toilet,1 bedroom mini flat (room and parlour) for rent,1,1,1,0,"Off Emma Abimbola Cole Street, Lekki Phase 1, Lekki, Lagos",Lekki,2000000
52,3 Bedroom Flat,3 bedroom flat / apartment for rent,3,3,4,0,"Sangotedo, Ajah, Lagos",Ajah,1400000
52,Mini Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,1,"Lekki Phase 1, Lekki, Lagos",Lekki,2500000
52,Luxury Extra Modern Newly Built Mini Flat With 2 Toilets,1 bedroom mini flat (room and parlour) for rent,1,1,1,3,"Bucknor Estate, Close To Community Bridge, Ago, Isolo, Lagos",Isolo,600000
52,5 Bedrooms Brand New Fully Detached Duplex,5 bedroom flat / apartment for rent,5,4,5,0,"Omole Phase 2, Ikeja, Lagos",Ikeja,6500000
52,Newly Built 2 Bedroom Flat,2 bedroom flat / apartment for rent,2,2,3,0,"Marshill Estate, Addo Road, Ajah, Lagos",Ajah,1300000
52,Very Spacious Mini Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,0,"Lekki Phase 1, Lekki, Lagos",Lekki,2000000
52,Massive 2 Bedrooms Flat,2 bedroom flat / apartment for rent,2,3,3,2,"Destiny Homes Estate, Abijo, Sangotedo, Ajah, Lagos",Ajah,900000
52,Super And Luxury 2 Bedrooms All Ensuite (brand New),2 bedroom flat / apartment for rent,2,3,3,2,"Off Ogunlauna Drive, Surulere, Lagos",Surulere,1400000
52,Serviced 2 Bedrooms Flat,2 bedroom flat / apartment for rent,2,2,3,2,"Parkview Estate, Ikoyi, Lagos",Ikoyi,3500000
52,3 Bedrooms Flat,3 bedroom flat / apartment for rent,3,3,4,2,"Lekki Phase 1, Lekki, Lagos",Lekki,3500000
52,Direct Cash Ready Clients Only - Ultra Luxury 4 Bedroom Penthouse,4 bedroom flat / apartment for rent,4,4,5,2,"Central, Old Ikoyi, Ikoyi, Lagos",Ikoyi,43660072
52,Tastefully Finished 2 Bedroom Flat,2 bedroom flat / apartment for rent,2,2,2,0,"GRA Phase 2, Magodo, Lagos",Magodo,2500000
52,Ultra Lux 3 Bedroom Apartment + Bq,3 bedroom flat / apartment for rent,3,3,4,2,"Central, Old Ikoyi, Ikoyi, Lagos",Ikoyi,20000000
53,An Exquisite And Luxurious 3 Bedroom Apartment,3 bedroom flat / apartment for rent,3,3,4,3,"Ikoyi, Lagos",Ikoyi,15000000
53,Direct Cash Ready Clients Only - Ultra Luxury 3 Bedroom Apartment,3 bedroom flat / apartment for rent,3,3,4,2,"Old Ikoyi, Ikoyi, Lagos",Ikoyi,19000000
53,Brand New Mini Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,0,"Ojodu Estate, Ojodu, Lagos",Ojodu,1200000
53,Brand New 2 Bedrooms Flat,2 bedroom flat / apartment for rent,2,2,2,0,"Ojodu Estate, Ojodu, Lagos",Ojodu,1500009
53,Tastefully Finished 3 Bedroom Flat With A Room Bq,3 bedroom flat / apartment for rent,3,3,4,0,"Palace Road, Oniru, Victoria Island (VI), Lagos",Victoria Island,4500000
53,Newly Renovated Two (2)-bedroom Flat,2 bedroom flat / apartment for rent,2,2,2,0,"Maryland Estate, Maryland, Lagos",Maryland,2500000
53,A Luxurious 2 Bedroom Flat With Modern Facilities,2 bedroom flat / apartment for rent,2,2,3,6,"Off Bayo Street, Alapere, Ketu, Lagos",Ketu,1200000
53,A Luxurious Mini Flat With Modern Facilities,1 bedroom mini flat (room and parlour) for rent,1,1,1,6,"Off Bayo Street, Alapere, Ketu, Lagos",Ketu,700000
53,A Furnished Shared Room,Self contain (single rooms) for rent,0,1,1,1,"Ojota, Lagos",Ojota,175000
53,A Brand New 2 Bedroom Flat With Modern Facilities,2 bedroom flat / apartment for rent,2,2,3,8,"Ifako, Gbagada, Lagos",Gbagada,1800000
53,Executive 2 Bedroom Apartment Perfectly Finished With Pop Ceiling.,2 bedroom flat / apartment for rent,2,2,2,4,"Gra, Awoyaya, Ibeju Lekki, Lagos",Lekki,700000
53,Nice 2 Bedrooms Apartment,2 bedroom flat / apartment for rent,2,2,3,2,"Thomas Estate, Ajah, Lagos",Ajah,1800000
53,Mini Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,0,"Thomas Estate, Ajah, Lagos",Ajah,1000000
53,Clean 2 Bedroom Apartment,2 bedroom flat / apartment for rent,2,2,1,0,"Badore, Ajah, Lagos",Ajah,500000
53,Nicely Built 3 Bedroom Flat;,3 bedroom flat / apartment for rent,3,3,4,0,"Lekki Right., Lekki, Lagos",Lekki,4000000
53,Spacious 3 Bedroom Flat With 1 Room Bq;,3 bedroom flat / apartment for rent,3,3,4,0,"Osborne Phase 1, Ikoyi, Lagos",Ikoyi,7000000
53,Self Contained Room,Self contain (single rooms) for rent,0,1,1,0,"Kilo, Surulere, Lagos",Surulere,400000
53,Serviced Luxury 3 Bedroom Flat With Good Facilities,3 bedroom flat / apartment for rent,3,3,4,0,"Modupe Alakija Crescent, Ikoyi, Lagos",Ikoyi,8500000
53,Luxury Fully Furnished 4 Bedroom Penthouse,4 bedroom flat / apartment for rent,4,4,5,3,"Banana Island, Ikoyi, Lagos",Ikoyi,18000000
53,6 Units Of 3 Bedroom Flat,3 bedroom flat / apartment for rent,3,4,4,0,"Victoria Island (VI), Lagos",Victoria Island,6500000
53,Newly Built Standard Room And Palour In An Estate,1 bedroom mini flat (room and parlour) for rent,1,1,1,0,"Aptech, Immediately After Blenco Supermarket, Sangotedo, Ajah, Lagos",Ajah,1100000
54,"Renovated Block Of City View 4 Bedroom Apartments With Bq, Tennis, Squash",4 bedroom flat / apartment for rent,4,4,5,2,"Banana Island Estate, Banana Island, Ikoyi, Lagos",Ikoyi,13000000
54,Luxury 2 Bedrooms Flat,2 bedroom flat / apartment for rent,2,3,3,0,"Mayfair Garden Estate, Awoyaya, Ibeju Lekki, Lagos",Lekki,700000
54,Cool Miniflat,1 bedroom mini flat (room and parlour) for rent,1,1,1,0,"Palmsbay Estate, Abijo, Lekki, Lagos",Lekki,251000
54,Mini Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,2,"Silver Bird Estate, Sangotedo, Ajah, Lagos",Ajah,1000000
54,"Direct Clients - Massive Waterfront Penthouse Apartment +jetty, Squash",4 bedroom flat / apartment for rent,4,4,5,3,"Off Onikoyi Road, Ikoyi, Lagos",Ikoyi,20000000
54,Direct Cash Ready Clients - Beautiful Waterfront 3 Bedroom Apartment,3 bedroom flat / apartment for rent,3,3,4,2,"Banana Island, Ikoyi, Lagos",Ikoyi,25000000
54,Beautiful 2 Bedroom Flat Upstairs,2 bedroom flat / apartment for rent,2,2,3,3,"Off Badore Road, Ado, Ajah, Lagos",Ajah,1000000
54,Newly Built 3 Bedrooms Apartment In A Secured Estate,3 bedroom flat / apartment for rent,3,3,4,0,"Peace Estate, Sangotedo, Ajah, Lagos",Ajah,1500000
54,A Lovely 3 Bedroom Flat,3 bedroom flat / apartment for rent,3,3,4,2,"Lekki Phase 1, Lekki, Lagos",Lekki,4000000
54,An Exclusive Serviced Apartment. Self Contain Room,Self contain (single rooms) for rent,0,1,1,0,"Fola Agoro, Yaba, Lagos",Yaba,1200000
54,4 Bedrooms Penthouse With Ocean-view In A Serviced And Serene Neighborhood,4 bedroom flat / apartment for rent,4,4,5,0,"Oniru, Victoria Island (VI), Lagos",Victoria Island,7500000
54,Cash Ready Clients - Top Rated Family Friendly 3 Bedroon Apartment,3 bedroom flat / apartment for rent,3,3,4,2,"Central Ikoyi, Old Ikoyi, Ikoyi, Lagos",Ikoyi,20000050
54,Top Rated Waterfront 3 Bedroom Apartment + Jetty + Pool Etc,3 bedroom flat / apartment for rent,3,3,4,2,"Banana Island, Ikoyi, Lagos",Ikoyi,17500000
54,Wonderful Ocean Facing 6th Floor Apartment Deal! Well Sized 4 Bedrooms,4 bedroom flat / apartment for rent,4,4,5,2,"Ocean Parade Towers, Banana Island, Ikoyi, Lagos",Ikoyi,23000000
54,Executive Medium Sized 2 Bedroom Apartment+kitchenette+elevator + Pool+gym,2 bedroom flat / apartment for rent,2,2,2,2,"Parkview, Ikoyi, Lagos",Ikoyi,4000000
54,Functional Ground Floor 2 Bedroom Apartment + Pool + Gym,2 bedroom flat / apartment for rent,2,2,3,2,"Old Ikoyi, Ikoyi, Lagos",Ikoyi,7000000
54,Highly Central 3 Bedroom Apartment + Bq + Pool + Tennis,3 bedroom flat / apartment for rent,3,3,3,2,"Off Bourdillon Road, Old Ikoyi, Ikoyi, Lagos",Ikoyi,6000000
54,Class Leading 6th Floor 2 Bedroom Apartment + Tennis + Pool + Bq,2 bedroom flat / apartment for rent,2,2,3,2,"Old Ikoyi, Ikoyi, Lagos",Ikoyi,15000000
54,Top Of The Range 3 Bedroom Apartment +tennis+gym+pool,3 bedroom flat / apartment for rent,3,3,4,2,"Old Ikoyi, Ikoyi, Lagos",Ikoyi,19000000
54,24 Nos Newly Built 3 Bedroom Apartment + Tennis+gym+pool,3 bedroom flat / apartment for rent,3,3,4,2,"Old Ikoyi, Ikoyi, Lagos",Ikoyi,8500000
54,Family Friendly 3 Bedroom Apartment + Bq+tennis+gym Etc,3 bedroom flat / apartment for rent,3,3,4,2,"Banana Island Estate, Banana Island, Ikoyi, Lagos",Ikoyi,13000000
55,An Exquisite And Luxurious 3 Bedroom Apartment,3 bedroom flat / apartment for rent,3,3,4,3,"Ikoyi, Lagos",Ikoyi,15000000
55,Very Affordable 3 Bedroom Apartment + Tennis+gym+pool,3 bedroom flat / apartment for rent,3,2,3,2,"Old Ikoyi, Ikoyi, Lagos",Ikoyi,6500000
55,Serene 3-bedroom Apartment + Bq + Gym + Pool,3 bedroom flat / apartment for rent,3,2,3,2,"Old Ikoyi, Ikoyi, Lagos",Ikoyi,7500000
55,Luxury Waterfront 4 Bedroom Apartment + Bq+pool+squash+gym,4 bedroom flat / apartment for rent,4,4,5,2,"Off Banana Island Road, Ikoyi, Lagos",Ikoyi,12000000
55,Newly Built 5 Bedroom Penthouse House + Cinema + Elevator,5 bedroom flat / apartment for rent,5,5,6,4,"Old Ikoyi, Ikoyi, Lagos",Ikoyi,25000000
55,Waterfront 3 Bedroom Apartment + Kids Play Area,3 bedroom flat / apartment for rent,3,3,3,2,"Victoria Island, Victoria Island (VI), Lagos",Victoria Island,6000000
55,16 Nos Executive & Cheap 2 Bedroom Apartments -all For 1 Tenant Wanted,2 bedroom flat / apartment for rent,2,2,2,2,"Victoria Island (VI), Lagos",Victoria Island,4000000
55,Brand New 2 & 3 Bedroom Luxury Apartments,2 bedroom flat / apartment for rent,2,2,3,0,"Parkview Estate, Ikoyi, Lagos",Ikoyi,7000000
55,Brand New 3 Bedroom Flat,3 bedroom flat / apartment for rent,3,3,4,4,"New Lspdc Estate, Agege, Lagos",Agege,2500000
55,Fully Serviced 3 Bedroom Flat With Bq And Swimming Pool,3 bedroom flat / apartment for rent,3,4,4,0,"Oniru, Victoria Island (VI), Lagos",Victoria Island,4500000
55,3 Bedroom Flat,3 bedroom flat / apartment for rent,3,2,3,3,"Thomas Estate, Ajah, Lagos",Ajah,1300000
55,Two Bedroom Bungalow,2 bedroom flat / apartment for rent,2,2,3,0,"Mobil Road, Ilaje, Ajah, Lagos",Ajah,800000
55,Brand New Mini Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,2,"Close To Cedarcare Hospital, Via Adesanya, Ogombo, Ajah, Lagos",Ajah,700000
55,Well Maintained 2 Bedroom Flat,2 bedroom flat / apartment for rent,2,2,3,0,"Lekki Scheme 2 Estate, Ilaje, Ajah, Lagos",Ajah,1100000
55,Tastefully Built 3 Bedroom Flat,3 bedroom flat / apartment for rent,3,3,4,0,"Thomas Estate, Ajah, Lagos",Ajah,2000000
55,Serviced And Tastefully Finished 2 Bedroom Flat,2 bedroom flat / apartment for rent,2,2,2,0,"Ikate, Lekki, Lagos",Lekki,3500000
55,"Mini Flat With Kitchen, Toilet And Bathroom Ensuite",1 bedroom mini flat (room and parlour) for rent,1,1,1,2,"Southern View Estate Chevron, Lekki, Lagos",Lekki,1300000
55,3 Bedrooms Flat,3 bedroom flat / apartment for rent,3,3,4,1,"Gbagada, Lagos",Gbagada,3000000
55,Newly Renovated 3 Bedroom Pent Floor Apartment,3 bedroom flat / apartment for rent,3,3,4,2,"Off Wole Olateju Crescent, Lekki Phase 1, Lekki, Lagos",Lekki,5500000
55,A Lovely And Nice Good 3 Bedroom Flat,3 bedroom flat / apartment for rent,3,3,4,1,"Millennium Estate, Gbagada, Lagos",Gbagada,1500000
55,"Pop, Shared Apartment",Self contain (single rooms) for rent,0,1,1,0,"Badore, Ajah, Lagos",Ajah,270000
56,An Exquisite And Luxurious 3 Bedroom Apartment,3 bedroom flat / apartment for rent,3,3,4,3,"Ikoyi, Lagos",Ikoyi,15000000
56,"6 Months, Massive Room In A Duplex",Self contain (single rooms) for rent,0,1,1,1,"Mega Chicken, Ikota, Lekki, Lagos",Lekki,400000
56,"Two Bedroom Flat With All Tiles, Pop",2 bedroom flat / apartment for rent,2,1,2,0,"Ojodu, Lagos",Ojodu,1200000
56,Newly Built 3 Bedroom Apartment And Bq,3 bedroom flat / apartment for rent,3,3,4,0,"Lekki Phase 1, Lekki, Lagos",Lekki,6000000
56,2 Bedrooms,2 bedroom flat / apartment for rent,2,1,2,0,"Ikota Villa, Lekki, Lagos",Lekki,1500000
56,Luxury Room And Parlour Mini Flat,1 bedroom flat / apartment for rent,1,1,1,2,"Aguugi/idado Estate, Idado, Lekki, Lagos",Lekki,1600000
56,A Well Maintained Room And Parlour Available,1 bedroom mini flat (room and parlour) for rent,1,1,1,1,"Idado, Lekki, Lagos",Lekki,1300000
56,Mini Flat,1 bedroom mini flat (room and parlour) for rent,1,1,1,1,"Agungi, Lekki, Lagos",Lekki,1200000
56,Office Space,1 bedroom flat / apartment for rent,1,1,1,3,"Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",Lekki,2500000
